rank,institution,count,percentage,country,region
169,Fraunhofer,5.917,0.1104886399004046,Germany,Germany
170,Northwestern Polytechnical U.,5.871,0.10962903679990517,China,China (Mainland)
171,École Polytechnique,5.833,0.10893246187363835,France,France
172,Rutgers University,5.733,0.10706504824151884,USA,USA
173,KU Leuven,5.667,0.10582010582010581,Belgium,Other Europe
174,UC Santa Cruz,5.593,0.10444177671068429,USA,USA
175,Tel Aviv University,5.583,0.10426392779333957,Israel,Israel
176,UC Riverside,5.5,0.10270774976657329,USA,USA
177,Baidu,5.478,0.10229276895943563,China,China (Mainland)
178,Simon Fraser University,5.45,0.10177404295051354,Canada,Canada
179,Xiaohongshu,5.383,0.10052910052910054,China,China (Mainland)
180,Sichuan University,5.371,0.10030759050366894,China,China (Mainland)
181,SenseTime,5.3,0.09897292250233429,China,China (Mainland)
182,UTS Sydney,5.25,0.09803921568627451,Australia,Australia & NZ
183,Central South University,5.233,0.09772798008092125,China,China (Mainland)
184,GIST,5.167,0.09648303765950825,South Korea,South Korea
185,Sony,5.117,0.09554933084344848,Japan,Japan
186,Xiaomi,5.083,0.09492685963274199,China,China (Mainland)
187,Brown University,5.018,0.09370648844333056,USA,USA
188,Graduate School of Artificial Intelligence,5.0,0.09337068160597572,Other,Other / Unknown
189,Shandong University,4.883,0.09119203236850297,China,China (Mainland)
190,University at Buffalo,4.867,0.0908807967631497,USA,USA
191,Heidelberg University,4.833,0.0902583255524432,Germany,Germany
192,UNSW Sydney,4.735,0.08841314303499179,Australia,Australia & NZ
193,University of Copenhagen,4.722,0.08818342151675485,Denmark,Other Europe
194,Sakana AI,4.667,0.08714596949891068,Japan,Japan
195,KIT,4.667,0.08714596949891067,Germany,Germany
196,Cisco,4.639,0.08662724348998858,USA,USA
197,BAAI,4.525,0.08450046685340802,China,China (Mainland)
198,Chung-Ang University,4.5,0.08403361344537816,South Korea,South Korea
199,Hebrew University of Jerusalem,4.5,0.08403361344537816,Israel,Israel
200,Li Auto,4.5,0.08403361344537813,China,China (Mainland)
201,King’s College London,4.476,0.08358899115201637,Other,Other / Unknown
202,University of Helsinki,4.476,0.08358899115201637,Finland,Other Europe
203,TU Eindhoven,4.45,0.08309990662931839,Netherlands,Other Europe
204,Technical University of Denmark,4.433,0.08278867102396513,Denmark,Other Europe
205,SUTD,4.426,0.08265528433595659,Singapore,Singapore
206,NAVER,4.333,0.08092125739184562,South Korea,South Korea
207,CSIRO,4.31,0.08047663509848382,Australia,Australia & NZ
208,University of Basel,4.276,0.07985650400511081,Switzerland,Switzerland
209,RIT,4.25,0.07936507936507936,USA,USA
210,TTIC,4.242,0.07920946156240276,Other,Other / Unknown
211,UC Merced,4.21,0.07860922146636433,USA,USA
212,"Applied AI Institute, Moscow, Russia",4.2,0.0784313725490196,Other,Other / Unknown
213,Western University,4.2,0.0784313725490196,Canada,Canada
214,Dalian U. of Technology,4.15,0.07749766573295987,China,China (Mainland)
215,Indian Institute of Technology,4.143,0.0773642790449513,India,India
216,Caltech,4.093,0.07643057222889156,USA,USA
217,RPI,4.083,0.07625272331154685,USA,USA
218,University of Oslo,4.083,0.07625272331154684,Norway,Other Europe
219,University of Minnesota,4.033,0.07531901649548708,USA,USA
220,University of Exeter,4.0,0.07469654528478058,UK,UK
221,Sharif University of Technology,4.0,0.07469654528478058,Iran,Middle East
222,Yandex,4.0,0.07469654528478058,Russia,Other Europe
223,CAS Institute of Computing Technology,3.967,0.07407407407407408,China,China (Mainland)
224,UT Dallas,3.95,0.07376283846872082,USA,USA
225,University of Trento,3.95,0.07376283846872082,Italy,Other Europe
226,University of Notre Dame,3.927,0.07333383803972039,USA,USA
227,University of Zurich,3.926,0.07331821617535904,Switzerland,Switzerland
228,China Telecom,3.925,0.07329126936970075,China,China (Mainland)
229,University of Tübingen,3.867,0.07220666044195456,Germany,Germany
230,University of Houston,3.833,0.07158418923124807,USA,USA
231,Anthropic,3.794,0.07085290256453458,USA,USA
232,Australian National University,3.783,0.07065048241518829,Australia,Australia & NZ
233,Allen Institute for AI,3.761,0.07023190614521885,USA,USA
234,NTT,3.75,0.0700280112044818,Japan,Japan
235,University of Surrey,3.733,0.06971677559912853,UK,UK
236,ELLIS Institute Tübingen,3.733,0.06971677559912853,Germany,Germany
237,University of Bristol,3.643,0.06802721088435373,UK,UK
238,UNIST,3.583,0.06691565515094927,South Korea,South Korea
239,Bocconi University,3.583,0.06691565515094927,Italy,Other Europe
240,Tohoku University,3.583,0.06691565515094927,Japan,Japan
241,Italian Institute of Technology,3.56,0.06647103285758749,Italy,Other Europe
242,Weizmann Institute of Science,3.533,0.0659819483348895,Israel,Israel
243,USTB,3.527,0.06586224233283057,China,China (Mainland)
244,University of Manchester,3.483,0.06504979614223312,UK,UK
245,LG AI Research,3.417,0.06380329909741674,South Korea,South Korea
246,Iowa State University,3.393,0.06335867680405495,USA,USA
247,MoE Key Laboratory of Brain-inspired Intelligent Perception and Cognition,3.333,0.06224712107065049,Other,Other / Unknown
248,AMD,3.333,0.06224712107065049,USA,USA
249,Indian Institute of Science,3.333,0.06224712107065048,India,India
250,Snap,3.325,0.06209150326797386,USA,USA
251,NUDT,3.283,0.061313414254590734,China,China (Mainland)
252,Lambda,3.283,0.061313414254590734,USA,USA
253,Department of Computer Science and Engineering,3.25,0.06069094304388422,Other,Other / Unknown
254,Cerebras,3.25,0.06069094304388422,USA,USA
255,Kyoto University,3.242,0.06053532524120759,Japan,Japan
256,University of Birmingham,3.167,0.05913476501711795,UK,UK
257,TU Berlin,3.167,0.05913476501711795,Germany,Germany
258,TU Wien,3.167,0.05913476501711795,Austria,Other Europe
259,ETRI,3.167,0.05913476501711795,South Korea,South Korea
260,Independent,3.155,0.0589194742224375,Other,Other / Unknown
261,StepFun,3.15,0.0588235294117647,China,China (Mainland)
262,"Eastern Institute of Tech, Ningbo",3.083,0.057578586990351704,China,China (Mainland)
263,University of Bonn,3.083,0.05757858699035169,Germany,Germany
264,OpenAI,3.046,0.05687460169252887,USA,USA
265,Department of Electrical Engineering,3.0,0.056022408963585436,Other,Other / Unknown
266,University of Florida,3.0,0.056022408963585436,USA,USA
267,"Beijing University of Posts and Telecommunications, China",3.0,0.056022408963585436,Other,Other / Unknown
268,Politecnico di Milano,3.0,0.05602240896358542,Italy,Other Europe
269,Zhongguancun Academy,2.96,0.055266551064870405,China,China (Mainland)
270,Vivo,2.95,0.055088702147525676,China,China (Mainland)
271,NJIT,2.917,0.05446623093681917,USA,USA
272,Soochow University,2.76,0.05153172380063137,China,China (Mainland)
273,Télécom Paris,2.75,0.051353874883286646,France,France
274,NYCU,2.75,0.051353874883286646,Taiwan,Taiwan
275,The Key Laboratory of Cognition and Decision Intelligence for Complex Systems,2.733,0.05104263927793339,Other,Other / Unknown
276,Intel,2.7,0.05042016806722689,USA,USA
277,Applied AI Institute,2.667,0.04979769685652039,Other,Other / Unknown
278,Anhui University,2.667,0.04979769685652038,China,China (Mainland)
279,Kyung Hee University,2.667,0.04979769685652038,South Korea,South Korea
280,University of Rochester,2.65,0.049479015423287864,USA,USA
281,Lomonosov MSU,2.601,0.04857498554977546,Russia,Other Europe
282,Hasso Plattner Institute,2.583,0.04824151882975413,Germany,Germany
283,The University of Osaka,2.583,0.048241518829754124,Other,Other / Unknown
284,Scale AI,2.56,0.04779689653639233,USA,USA
285,Innopolis University,2.551,0.0476412787337157,Russia,Other Europe
286,Great Bay University,2.543,0.04748566093103908,China,China (Mainland)
287,TikTok,2.533,0.04730781201369438,China,China (Mainland)
288,Lingnan University,2.533,0.04730781201369436,Hong Kong,Hong Kong
289,BUPT,2.51,0.04686318972033258,China,China (Mainland)
290,MPI for Software Systems,2.5,0.04668534080298786,Germany,Germany
291,Victoria U. Wellington,2.5,0.04668534080298786,New Zealand,Australia & NZ
292,Tulane University,2.5,0.04668534080298786,USA,USA
293,Moscow Indep. Research Institute of AI,2.476,0.04624071850962607,Russia,Other Europe
294,EleutherAI,2.458,0.045907251789604725,Other,Other / Unknown
295,KRAFTON,2.45,0.04575163398692811,South Korea,South Korea
296,University of Auckland,2.433,0.04544039838157486,New Zealand,Australia & NZ
297,CAS Institute of Software,2.433,0.04544039838157485,China,China (Mainland)
298,Deakin University,2.426,0.045307011693566324,Australia,Australia & NZ
299,University of Warwick,2.333,0.04357298474945533,UK,UK
300,Case Western Reserve University,2.292,0.0427948957360722,USA,USA
301,School of Computer Science,2.25,0.04201680672268908,Other,Other / Unknown
302,Institute of Numerical Mathematics,2.25,0.04201680672268908,Russia,Other Europe
303,Toyota Research Institute,2.238,0.04179449557600819,USA,USA
304,Queen Mary University of London,2.191,0.04090680561268797,UK,UK
305,University of Connecticut,2.167,0.04046062869592281,USA,USA
306,WPI,2.167,0.04046062869592281,USA,USA
307,RMIT University,2.143,0.040016006402561026,Australia,Australia & NZ
308,OPPO,2.136,0.03988261971455248,China,China (Mainland)
309,Hefei U. of Technology,2.117,0.03952692187986306,China,China (Mainland)
310,IIT Bombay,2.083,0.03890445066915656,India,India
311,Lehigh University,2.027,0.03785297902944962,USA,USA
312,Sea AI Lab,2.017,0.03765950824774354,Singapore,Singapore
313,Oregon State University,2.0,0.03734827264239029,Other,Other / Unknown
314,Oklahoma State University,2.0,0.03734827264239029,Other,Other / Unknown
315,U. of Technology Nuremberg,2.0,0.03734827264239029,Germany,Germany
316,Zhengzhou University,2.0,0.03734827264239029,China,China (Mainland)
317,IIT Delhi,2.0,0.03734827264239029,India,India
318,George Mason University,2.0,0.03734827264239029,USA,USA
319,Department of Electrical and Computer Engineering,2.0,0.03734827264239029,Other,Other / Unknown
320,"T¨ubingen AI Center, University of T¨ubingen",2.0,0.03734827264239029,Other,Other / Unknown
321,Tel-Aviv University,2.0,0.03734827264239029,Other,Other / Unknown
322,University of Iowa,2.0,0.03734827264239029,Other,Other / Unknown
323,"Lausanne, Switzerland",2.0,0.03734827264239029,Other,Other / Unknown
324,"Max Planck Institute of Biochemistry, Martinsried, Germany",2.0,0.03734827264239029,Other,Other / Unknown
325,"Milan, Italy",2.0,0.03734827264239029,Other,Other / Unknown
326,Hanyang University,2.0,0.03734827264239029,Other,Other / Unknown
327,University of California (other),2.0,0.03734827264239029,USA,USA
328,"Courant Institute of Mathematical Sciences, New York University1, Center for Data Science, New York University2, Grossman School of Medicine, New York University3",2.0,0.03734827264239029,Other,Other / Unknown
329,TU Dortmund,2.0,0.03734827264239029,Germany,Germany
330,Griffith University,1.983,0.037037037037037035,Australia,Australia & NZ
331,DFKI,1.976,0.0369036503490285,Germany,Germany
332,Czech Technical University Prague,1.95,0.036414565826330535,Czechia,Other Europe
333,Washington University in St. Louis,1.95,0.036414565826330535,Other,Other / Unknown
334,Communication U. of China,1.917,0.03579209461562403,China,China (Mainland)
335,Brookhaven National Lab,1.833,0.03423591658885776,USA,USA
336,Khalifa University,1.833,0.03423591658885776,Other,Other / Unknown
337,University of Glasgow,1.833,0.03423591658885776,UK,UK
338,Guangdong U. of Technology,1.817,0.033924680983504506,China,China (Mainland)
339,University of Stuttgart,1.75,0.032679738562091505,Other,Other / Unknown
340,THU,1.733,0.03236850295673825,Other,Other / Unknown
341,Chongqing University,1.726,0.032235116268729706,China,China (Mainland)
342,University of Sheffield,1.7,0.031746031746031744,UK,UK
343,Shenzhen U. of Advanced Tech,1.7,0.031746031746031744,China,China (Mainland)
344,Department of Mathematics,1.7,0.031746031746031744,Other,Other / Unknown
345,Cohere,1.698,0.03171639025980763,Canada,Canada
346,Moonshot AI,1.673,0.031247161278121032,China,China (Mainland)
347,Key Laboratory of Multimedia Trusted Perception and Efficient Computing,1.667,0.03112356053532524,Other,Other / Unknown
348,Uniphore,1.667,0.03112356053532524,Other,Other / Unknown
349,Hangzhou Dianzi University,1.65,0.03081232492997199,China,China (Mainland)
350,State Key Laboratory of Human-Machine Hybrid Augmented Intelligence,1.617,0.030189853719265483,Other,Other / Unknown
351,CAS Shenzhen Institute of Advanced Tech,1.617,0.030189853719265483,China,China (Mainland)
352,Genentech,1.583,0.029567382508558976,USA,USA
353,Capital One,1.583,0.029567382508558976,Other,Other / Unknown
354,State Key Laboratory of Multimedia Information Processing,1.583,0.029567382508558976,Other,Other / Unknown
